Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FirstTS,Firefox 68.0,,,2019-08-24 06:46:33,2019-08-24 06:47:41,1m - 8.024s,INCOMPLETE
,,,,,,,
Test Cases/1- logIn/1-RightTC,Firefox 68.0,,,2019-08-24 06:46:34,2019-08-24 06:46:59,25.386s,FAILED
"openBrowser("""")",Firefox 68.0,,,2019-08-24 06:46:35,2019-08-24 06:46:46,11.366s,PASSED
"navigateToUrl(""http://is2host.com/watch/"")",Firefox 68.0,,,2019-08-24 06:46:46,2019-08-24 06:46:51,4.885s,PASSED
"click(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/a_""))",Firefox 68.0,,,2019-08-24 06:46:51,2019-08-24 06:46:54,3.298s,PASSED
"setText(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/input__name""), ""admin@admin.com"")",Firefox 68.0,,,2019-08-24 06:46:54,2019-08-24 06:46:55,0.236s,PASSED
"setEncryptedText(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/input__pass""), ""aeHFOx8jV/A="")",Firefox 68.0,,,2019-08-24 06:46:55,2019-08-24 06:46:55,0.290s,PASSED
"click(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/button_""))",Firefox 68.0,,,2019-08-24 06:46:55,2019-08-24 06:46:59,4.151s,PASSED
"click(findTestObject(""Object Repository/logIn/Page_/a_""))",Firefox 68.0,,,2019-08-24 06:46:59,2019-08-24 06:46:59,0.315s,FAILED
,,,,,,,
Test Cases/1- logIn/2-WrongTC,Firefox 68.0,,,2019-08-24 06:46:59,2019-08-24 06:47:41,41.820s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-08-24 06:47:00,2019-08-24 06:47:12,12.101s,PASSED
"navigateToUrl(""http://is2host.com/watch/"")",Firefox 68.0,,,2019-08-24 06:47:12,2019-08-24 06:47:31,18.492s,PASSED
"click(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/a_""))",Firefox 68.0,,,2019-08-24 06:47:31,2019-08-24 06:47:34,3.804s,PASSED
"setText(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/input__name""), ""ahmed@admin.com"")",Firefox 68.0,,,2019-08-24 06:47:34,2019-08-24 06:47:35,0.193s,PASSED
"setEncryptedText(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/input__pass""), ""aeHFOx8jV/A="")",Firefox 68.0,,,2019-08-24 06:47:35,2019-08-24 06:47:35,0.109s,PASSED
"click(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/button_""))",Firefox 68.0,,,2019-08-24 06:47:35,2019-08-24 06:47:37,2.474s,PASSED
closeBrowser(),Firefox 68.0,,,2019-08-24 06:47:37,2019-08-24 06:47:41,4.027s,PASSED
